cluster.index	parent.mass.NH4	number.of.spectra.NH4	RTMean.NH4	sum.precursor.intensity..NH4	LibraryID.NH4	SpectrumID.NH4	Smiles.NH4	INCHI.NH4	ProteoSAFeClusterLink.NH4	MetFragScore.NH4	MetFragSMILES.NH4	MetFragID.NH4	FusionScore.NH4	FusionSMILES.NH4	FusionID.NH4	ConsensusScore.NH4	ConsensusSMILES.NH4	ConsensusID.NH4
79	306.278	1	474.514	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=79	1.0000000,0.9884946,0.9821705,0.9771989,0.9458522	CC(C)C1=CC=C(C)CCC=C(C)CCC(C(=C)CC1)O,CC1(C)C(O)CCC2(C)C1CCC3=CC(C=C)(C)CCC32,C=C/C(=C/CC1C(=CCC2C(C)(C)CCCC12C)CO)/C,C=CC1C(=C)CCC2C1CCC1C(C)(C)C(CCC21C)O,C=C1CC23CCC4C(C)(C)C(CCC4(C)C3CCC1C2)O	C20H32O_Croton_hemiargyreus_186,C20H32O_Euphorbia_characias_190,C20H32O_Croton_oblongifolius_188,C20H32O_Croton_oblongifolius_187,C20H32O_Phyllanthus_flexuosus_189	1,0.987,0.964,0.96,0.944	C=CC1C(=C)CCC2C1CCC1C(C)(C)C(CCC21C)O,CC1(C)C(O)CCC2(C)C1CCC3=CC(C=C)(C)CCC32,C=C1CC23CCC4C(C)(C)C(CCC4(C)C3CCC1C2)O,CC(C)C1=CC=C(C)CCC=C(C)CCC(C(=C)CC1)O,C=C/C(=C/CC1C(=CCC2C(C)(C)CCCC12C)CO)/C	C20H32O_Croton_oblongifolius_187,C20H32O_Euphorbia_characias_190,C20H32O_Phyllanthus_flexuosus_189,C20H32O_Croton_hemiargyreus_186,C20H32O_Croton_oblongifolius_188	1,0.985,0.939,0.92,0.746	C=CC1C(=C)CCC2C1CCC1C(C)(C)C(CCC21C)O,C=C/C(=C/CC1C(=CCC2C(C)(C)CCCC12C)CO)/C,C=C1CC23CCC4C(C)(C)C(CCC4(C)C3CCC1C2)O,CC(C)C1=CC=C(C)CCC=C(C)CCC(C(=C)CC1)O,CC1(C)C(O)CCC2(C)C1CCC3=CC(C=C)(C)CCC32	C20H32O_Croton_oblongifolius_187,C20H32O_Croton_oblongifolius_188,C20H32O_Phyllanthus_flexuosus_189,C20H32O_Croton_hemiargyreus_186,C20H32O_Euphorbia_characias_190
80	308.256	1	384.314	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=80									
82	309.241	1	874.698	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=82									
85	311.162	1	625.830	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=85									
86	311.163	1	735.768	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=86									
88	311.163	1	679.848	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=88									
101	313.179	1	401.913	0	m/z313ofditerpeneesters(collectedfrom12-deoxyphorbol-13-acetate)	CCMSLIB00000478113	CC1(C)[C@@]2(OC(C)=O)[C@]1([H])[C@@](C=C(CO)C[C@@]3(O)[C@@]4([H])C=C(C)C3=O)([H])[C@]4(O)[C@H](C)C2	InChI=1S/C22H30O6/c1-11-6-16-20(26,18(11)25)9-14(10-23)7-15-17-19(4,5)21(17,28-13(3)24)8-12(2)22(15,16)27/h6-7,12,15-17,23,26-27H,8-10H2,1-5H3/t12-,15+,16-,17-,20-,21+,22-/m1/s1	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=101									
103	313.179	1	293.279	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=103									
117	313.179	1	647.250	0	m/z313ofditerpeneesters(collectedfrom12-deoxyphorbol-13-acetate)	CCMSLIB00000478113	CC1(C)[C@@]2(OC(C)=O)[C@]1([H])[C@@](C=C(CO)C[C@@]3(O)[C@@]4([H])C=C(C)C3=O)([H])[C@]4(O)[C@H](C)C2	InChI=1S/C22H30O6/c1-11-6-16-20(26,18(11)25)9-14(10-23)7-15-17-19(4,5)21(17,28-13(3)24)8-12(2)22(15,16)27/h6-7,12,15-17,23,26-27H,8-10H2,1-5H3/t12-,15+,16-,17-,20-,21+,22-/m1/s1	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=117									
118	313.179	1	444.821	0	m/z313ofditerpeneesters(collectedfrom12-deoxyphorbol-13-acetate)	CCMSLIB00000478113	CC1(C)[C@@]2(OC(C)=O)[C@]1([H])[C@@](C=C(CO)C[C@@]3(O)[C@@]4([H])C=C(C)C3=O)([H])[C@]4(O)[C@H](C)C2	InChI=1S/C22H30O6/c1-11-6-16-20(26,18(11)25)9-14(10-23)7-15-17-19(4,5)21(17,28-13(3)24)8-12(2)22(15,16)27/h6-7,12,15-17,23,26-27H,8-10H2,1-5H3/t12-,15+,16-,17-,20-,21+,22-/m1/s1	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=118									
119	313.179	1	667.290	0	m/z313ofditerpeneesters(collectedfrom12-deoxyphorbol-13-acetate)	CCMSLIB00000478113	CC1(C)[C@@]2(OC(C)=O)[C@]1([H])[C@@](C=C(CO)C[C@@]3(O)[C@@]4([H])C=C(C)C3=O)([H])[C@]4(O)[C@H](C)C2	InChI=1S/C22H30O6/c1-11-6-16-20(26,18(11)25)9-14(10-23)7-15-17-19(4,5)21(17,28-13(3)24)8-12(2)22(15,16)27/h6-7,12,15-17,23,26-27H,8-10H2,1-5H3/t12-,15+,16-,17-,20-,21+,22-/m1/s1	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=119									
121	313.180	1	417.921	0	m/z313ofditerpeneesters(collectedfrom12-deoxyphorbol-13-acetate)	CCMSLIB00000478113	CC1(C)[C@@]2(OC(C)=O)[C@]1([H])[C@@](C=C(CO)C[C@@]3(O)[C@@]4([H])C=C(C)C3=O)([H])[C@]4(O)[C@H](C)C2	InChI=1S/C22H30O6/c1-11-6-16-20(26,18(11)25)9-14(10-23)7-15-17-19(4,5)21(17,28-13(3)24)8-12(2)22(15,16)27/h6-7,12,15-17,23,26-27H,8-10H2,1-5H3/t12-,15+,16-,17-,20-,21+,22-/m1/s1	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=121									
128	315.194	1	532.967	0	Cembrane_Diterpene_plus_CHO	CCMSLIB00000081023		N/A	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=128									
131	315.194	1	649.872	0	NCGC00385270-01_C20H28O4_5-[2-(3-Furyl)ethyl]-8-hydroxy-5,6,8a-trimethyl-3,4,4a,5,6,7,8,8a-octahydro-1-naphthalenecarboxylicacid	CCMSLIB00000852565	CC1CC(O)C\2(C)C(CC\C=C2C(O)=O)C1(C)CCC3=COC=C3	InChI=1S/C20H28O4/c1-13-11-17(21)20(3)15(18(22)23)5-4-6-16(20)19(13,2)9-7-14-8-10-24-12-14/h5,8,10,12-13,16-17,21H,4,6-7,9,11H2,1-3H3,(H,22,23)	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=131									
134	315.196	1	762.894	0	NCGC00385270-01_C20H28O4_5-[2-(3-Furyl)ethyl]-8-hydroxy-5,6,8a-trimethyl-3,4,4a,5,6,7,8,8a-octahydro-1-naphthalenecarboxylicacid	CCMSLIB00000852565	CC1CC(O)C\2(C)C(CC\C=C2C(O)=O)C1(C)CCC3=COC=C3	InChI=1S/C20H28O4/c1-13-11-17(21)20(3)15(18(22)23)5-4-6-16(20)19(13,2)9-7-14-8-10-24-12-14/h5,8,10,12-13,16-17,21H,4,6-7,9,11H2,1-3H3,(H,22,23)	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=134									
137	317.210	1	382.748	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=137									
138	317.210	1	315.314	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=138									
140	317.210	1	182.891	0	NCGC00347612-02_C20H30O4_17-Hydroxy-15,16-epoxykauran-18-oicacid	CCMSLIB00000853543	CC12CCCC(C)(C1CCC34CC(CCC23)C5(CO)OC45)C(O)=O	InChI=1S/C20H30O4/c1-17-7-3-8-18(2,16(22)23)13(17)6-9-19-10-12(4-5-14(17)19)20(11-21)15(19)24-20/h12-15,21H,3-11H2,1-2H3,(H,22,23)	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=140									
144	318.241	1	546.435	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=144	1.0000000,0.7572762	CC(C)C1C=CC(=CCC=C(C)CC2C=C(CC1)C(=O)O2)C,C=CC1(C)C=C2CCC3C(C)(C)C(CCC3(C)C2=CC1=O)O	C20H28O2_Croton_gratissimus_31,C20H28O2_Croton_insularis_32				1,0.837	CC(C)C1C=CC(=CCC=C(C)CC2C=C(CC1)C(=O)O2)C,C=CC1(C)C=C2CCC3C(C)(C)C(CCC3(C)C2=CC1=O)O	C20H28O2_Croton_gratissimus_31,C20H28O2_Croton_insularis_32
155	324.289	1	473.009	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=155	1.0000000,0.9934382,0.8413420	CC(=CCC/C(=C/CCC(C)(C1CC=C(C)C(C1)O)O)/C)C,C=CC(=C)CCC1C2(C)CCCC(C)(C)C2CC(C1(C)O)O,CC1(C)CCCC2(C)C1CCC13CC(CCC23)C(C1)(CO)O	C20H34O2_Croton_eluteria_231,C20H34O2_Croton_oblongifolius_233,C20H34O2_Multiple__232	1,0.95,0.915	C=CC(=C)CCC1C2(C)CCCC(C)(C)C2CC(C1(C)O)O,CC(=CCC/C(=C/CCC(C)(C1CC=C(C)C(C1)O)O)/C)C,CC1(C)CCCC2(C)C1CCC13CC(CCC23)C(C1)(CO)O	C20H34O2_Croton_oblongifolius_233,C20H34O2_Croton_eluteria_231,C20H34O2_Multiple__232	1,0.986,0.857	C=CC(=C)CCC1C2(C)CCCC(C)(C)C2CC(C1(C)O)O,CC(=CCC/C(=C/CCC(C)(C1CC=C(C)C(C1)O)O)/C)C,CC1(C)CCCC2(C)C1CCC13CC(CCC23)C(C1)(CO)O	C20H34O2_Croton_oblongifolius_233,C20H34O2_Croton_eluteria_231,C20H34O2_Multiple__232
158	329.004	1	172.408	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=158									
166	330.299	1	596.903	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=166									
169	331.189	1	298.030	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=169									
173	331.190	1	945.300	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=173									
175	331.190	1	644.262	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=175									
179	331.226	1	499.596	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=179									
181	332.220	1	453.595	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=181	1.0000000,0.8994055,0.8907734,0.8595180,0.8561871,0.8508332,0.7883947,0.6999130,0.6406432,0.5195927	CC1=CCCC(=C)C2C(CC1)/C(=C\C=C\C(=C)CO)/COC2=O,CC12C(CC=C3C2CC4C(C(C)C(O4)=O)C3=O)C5(C)C(C5)CC1,CC12C(CC(C(C3)=C2CC4C3=C(C)C(O4)=O)=O)C(C)(C)CCC1,CC1=C(CCc2ccoc2)C2(C)CCCC(C)(C)C2=C(C1=O)O,CC1=CC(=O)C2C(C)(C)CCCC2(C)C1/C=C/C1=CCOC1=O,CC12C(CCC(C3=O)=C2C4C(C(C)=CO4)C3=O)C(C)(C)CCC1,CC1CCC2(C)C(=CC=CC2C1(C)CCc1ccoc1)C(=O)O,CC12C(CCC(C2CC3O4)=CC3=C(C)C4=O)C(C)(C)C(CC1)=O,CC(C)c1c2CCC3C(C)(C=CC(=O)C3(C)CO)c2ccc1O,CC(C(CCC12C3CC(C(C2)=C)CC1=O)C3(C)C=C4O)(C)C4=O	C21H28O4_Trigonostemon_flavidus_302,C20H26O3_Euphorbia_retusa_18,C20H26O3_Euphorbia_seguieriana_21,C21H28O4_Trigonostemon_heterophyllus_301,C21H28O4_Trigonostemon_chinensis_300,C20H26O3_Euphorbia_guyoniana_19,C21H28O4_Trigonostemon_flavidus_303,C20H26O3_Euphorbia_calyptrata_20,C21H28O4_Trigonostemon_chinensis_299,C20H26O3_Euphorbia_characias_22				1,0.906,0.905,0.881,0.668,0.649,0.598,0.517,0.482,0.38	CC12C(CC(C(C3)=C2CC4C3=C(C)C(O4)=O)=O)C(C)(C)CCC1,CC12C(CCC(C2CC3O4)=CC3=C(C)C4=O)C(C)(C)C(CC1)=O,CC1=CCCC(=C)C2C(CC1)/C(=C\C=C\C(=C)CO)/COC2=O,CC1=CC(=O)C2C(C)(C)CCCC2(C)C1/C=C/C1=CCOC1=O,CC(C(CCC12C3CC(C(C2)=C)CC1=O)C3(C)C=C4O)(C)C4=O,CC12C(CC=C3C2CC4C(C(C)C(O4)=O)C3=O)C5(C)C(C5)CC1,CC12C(CCC(C3=O)=C2C4C(C(C)=CO4)C3=O)C(C)(C)CCC1,CC1CCC2(C)C(=CC=CC2C1(C)CCc1ccoc1)C(=O)O,CC1=C(CCc2ccoc2)C2(C)CCCC(C)(C)C2=C(C1=O)O,CC(C)c1c2CCC3C(C)(C=CC(=O)C3(C)CO)c2ccc1O	C20H26O3_Euphorbia_seguieriana_21,C20H26O3_Euphorbia_calyptrata_20,C21H28O4_Trigonostemon_flavidus_302,C21H28O4_Trigonostemon_chinensis_300,C20H26O3_Euphorbia_characias_22,C20H26O3_Euphorbia_retusa_18,C20H26O3_Euphorbia_guyoniana_19,C21H28O4_Trigonostemon_flavidus_303,C21H28O4_Trigonostemon_heterophyllus_301,C21H28O4_Trigonostemon_chinensis_299
184	332.279	1	442.362	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=184									
186	333.206	1	263.146	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=186									
188	334.236	1	379.718	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=188	1.0000000,0.9834573,0.9704247,0.9626482,0.9489404,0.9475505,0.9430260,0.9406549,0.9341040,0.9326520	CC1=CCC(C(=CC(=O)C(=O)C(=CC2C(CC1)C2(C)C)C)C)O,C=C(C)C1CCC(=C)C(Cc2c(C)cco2)C1(C)CCC(=O)O,CC1=CC2(C=C1)CCC1C(C)(C)C(=O)CCC1(C)C2CC(=O)O,C=C(CCC1C2C1(C)C)C(C2C(O)(C)C3O)C4=C3CC(C)C4=O,C=CC1(C)C(=O)C=C2C(=CCC3C(C)(C)C(CCC23C)O)C1O,CC1=CC2C(=O)C(C)CC2(C(=O)C(=CC2C(CC1)C2(C)C)C)O,Cc1cc(ccc1O)C(=O)C(C)CC1C(CCC(=O)C)C1(C)C,CC(CO)C1=CC(=O)C2=C(CCC3C(C)(C)CCCC23C)C1=O,CC1CCC2(C)C(=CC(=O)CC2C1(CCc1ccoc1)CO)C,CC1=CC2C(=O)C(=CC2(C(=O)C(C)CC2C(CC1)C2(C)C)O)C	C20H28O3_Croton_argyrophyllus_46,C20H28O3_Croton_stipuliformis_52,C20H28O3_Croton_sarcopetalus_51,C20H28O3_Euphorbia_lagascae_61,C20H28O3_Jatropha_divaricata_58,C20H28O3_Euphorbia_jolkinii_37,C20H28O3_Jatropha_multifida_57,C20H28O3_Euphorbia_portlandica_42,C20H28O3_Croton_campestris_53,C20H28O3_Jatropha_multifida_56						
189	334.236	1	316.835	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=189	1.0000000,0.9910279,0.9600048,0.9366230,0.9275909,0.9157124,0.9087151,0.8889123,0.8836406,0.8726203	CC1=CC2(C=C1)CCC1C(C)(C)C(=O)CCC1(C)C2CC(=O)O,CC1=CCC(C(=CC(=O)C(=O)C(=CC2C(CC1)C2(C)C)C)C)O,C=C(C)C1CCC(=C)C(Cc2c(C)cco2)C1(C)CCC(=O)O,CC1=CC2C(=O)C(C)CC2(C(=O)C(=CC2C(CC1)C2(C)C)C)O,CC1=CC2C(=O)C(=CC2(C(=O)C(C)CC2C(CC1)C2(C)C)O)C,CC(CO)C1=CC(=O)C2=C(CCC3C(C)(C)CCCC23C)C1=O,C=CC1(C)CCC2C(=CCC3C(C)(C)C(=O)C(=CC23C)O)C1O,C=C(CCC1C2C1(C)C)C(C2C(O)(C)C3O)C4=C3CC(C)C4=O,C=C(C)C1CCC23CC(CCC2C1(C)CCC(=O)O)C(=C)C3=O,C=CC1(C)C(=O)C=C2C(=CCC3C(C)(C)C(CCC23C)O)C1O	C20H28O3_Croton_sarcopetalus_51,C20H28O3_Croton_argyrophyllus_46,C20H28O3_Croton_stipuliformis_52,C20H28O3_Euphorbia_jolkinii_37,C20H28O3_Jatropha_multifida_56,C20H28O3_Euphorbia_portlandica_42,C20H28O3_Euphorbia_ebracteolata_45,C20H28O3_Euphorbia_lagascae_61,C20H28O3_Croton_caracasana_48,C20H28O3_Jatropha_divaricata_58				1,0.992,0.939,0.929,0.903,0.896,0.893,0.86,0.844,0.774	CC1=CC2(C=C1)CCC1C(C)(C)C(=O)CCC1(C)C2CC(=O)O,C=CC1(C)CCC2C(=CCC3C(C)(C)C(=O)C(=CC23C)O)C1O,CC1=CC2C(=O)C(C)CC2(C(=O)C(=CC2C(CC1)C2(C)C)C)O,CC1=CC2C(=O)C(=CC2(C(=O)C(C)CC2C(CC1)C2(C)C)O)C,C=C(CCC1C2C1(C)C)C(C2C(O)(C)C3O)C4=C3CC(C)C4=O,C[C@@H]1CC[C@@]2(C)C(=CCC[C@@H]2[C@]1(C)CCc1ccoc1)C(=O)O,CC1=CCC(C(=CC(=O)C(=O)C(=CC2C(CC1)C2(C)C)C)C)O,C=C(C)C1CCC23CC(CCC2C1(C)CCC(=O)O)C(=C)C3=O,CC1CCC2=C(CCCC2(C)C(=O)O)C1(C)CCc1ccoc1,C=CC1(C)C(=O)C=C2C(=CCC3C(C)(C)C(CCC23C)O)C1O	C20H28O3_Croton_sarcopetalus_51,C20H28O3_Euphorbia_ebracteolata_45,C20H28O3_Euphorbia_jolkinii_37,C20H28O3_Jatropha_multifida_56,C20H28O3_Euphorbia_lagascae_61,C20H28O3_Multiple__55,C20H28O3_Croton_argyrophyllus_46,C20H28O3_Croton_caracasana_48,C20H28O3_Croton_oblongifolius_54,C20H28O3_Jatropha_divaricata_58
